"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Nieuw verkochte wegvoertuigen (aantal)"
"Personenauto";"Totaal";"2018";443529
"Personenauto";"Totaal";"2019";445218
"Personenauto";"Totaal";"2020";355432
"Personenauto";"Totaal";"2021";322318
"Personenauto";"Totaal";"2022*";312070
"Personenauto";"Totaal";"2023*";369634
"Personenauto";"Benzine";"2018";334400
"Personenauto";"Benzine";"2019";316274
"Personenauto";"Benzine";"2020";205008
"Personenauto";"Benzine";"2021";146821
"Personenauto";"Benzine";"2022*";119401
"Personenauto";"Benzine";"2023*";112216
"Personenauto";"Diesel";"2018";56996
"Personenauto";"Diesel";"2019";32685
"Personenauto";"Diesel";"2020";12963
"Personenauto";"Diesel";"2021";6920
"Personenauto";"Diesel";"2022*";4638
"Personenauto";"Diesel";"2023*";3966
"Personenauto";"Lpg";"2018";969
"Personenauto";"Lpg";"2019";520
"Personenauto";"Lpg";"2020";1921
"Personenauto";"Lpg";"2021";2229
"Personenauto";"Lpg";"2022*";2285
"Personenauto";"Lpg";"2023*";2362
"Personenauto";"Full elektric (BEV)";"2018";23985
"Personenauto";"Full elektric (BEV)";"2019";61547
"Personenauto";"Full elektric (BEV)";"2020";72859
"Personenauto";"Full elektric (BEV)";"2021";63658
"Personenauto";"Full elektric (BEV)";"2022*";73250
"Personenauto";"Full elektric (BEV)";"2023*";113968
"Personenauto";"Totaal hybrides";"2018";26173
"Personenauto";"Totaal hybrides";"2019";33741
"Personenauto";"Totaal hybrides";"2020";62474
"Personenauto";"Totaal hybrides";"2021";102529
"Personenauto";"Totaal hybrides";"2022*";112390
"Personenauto";"Totaal hybrides";"2023*";137077
"Personenauto";"Overige/onbekende brandstof";"2018";1006
"Personenauto";"Overige/onbekende brandstof";"2019";451
"Personenauto";"Overige/onbekende brandstof";"2020";207
"Personenauto";"Overige/onbekende brandstof";"2021";161
"Personenauto";"Overige/onbekende brandstof";"2022*";106
"Personenauto";"Overige/onbekende brandstof";"2023*";45
